"","text","likes","retweets","timestamp","id"
"54","I want to congratulate my friend Iowa Attorney General Tom Miller on making history. I've known Tom for years, he has never been afraid to take on the tough fights and has always served with honor and integrity—Iowa and our nation are better because of it. https://t.co/plv5WDvUbc",1906,343,2020-01-12 00:50:00,1216160510183428096
"55","Thank you for your endorsement, Mayor @EricGarcetti. I’m proud to walk with firefighters, Angelenos, and Americans. And today, I’m proud to walk with you. Let’s do this. https://t.co/I01t0L2wXI",3445,750,2020-01-12 18:10:00,1216422087138693120
"56","Gracias por su apoyo, Mayor @EricGarcetti. Estoy orgulloso de caminar junto a los bomberos, los Angelenos, y los Americanos. Y hoy, me siento orgulloso de caminar junto a ti. Vamos. https://t.co/X0WRq7QEnD",926,211,2020-01-12 18:21:00,1216424855257534464
"57","Trump’s reckless policies have needlessly endangered our interests in the Middle East. But none of us should be under any illusions about the Iranian regime, and the Iranian people — like all people everywhere — have the right to peaceful protest. The world should support them.",12940,2552,2020-01-12 20:58:00,1216464610318061568
"58","There’s enormous opportunity once we get rid of Donald Trump. We can:

- Address the climate emergency
- Build a more inclusive middle class
- Build on Obamacare
- Ensure our government works for everyone — not just the powerful",43524,7624,2020-01-12 23:00:00,1216495106037035008
"59","Puerto Rico should not be treated any differently than if this happened anywhere else in America — it's wrong. We should be surging all the help that is needed to fix the damage done by the earthquakes. https://t.co/AIAuQy2Fjs",10299,2683,2020-01-13 02:26:00,1216546909579567104
"60","Cory, you campaigned with joy and heart, and instead of just talking about bringing people together, you did it every day. You made our politics better just by running. Grateful to you and looking forward to your continued leadership.",38098,4238,2020-01-13 16:26:00,1216758302421352448
"61","Come on. Your administration has been arguing in court to repeal protections for people with pre-existing conditions.

You're trying to take health care away from millions of people. The least you could do is be honest about it. https://t.co/T0XxHFgy44",29696,8357,2020-01-13 18:25:00,1216788361198866432
"62","Donald Trump has no strategy when it comes to Iran. No endgame. The only way out of his self-made crisis is through diplomacy — clear-eyed, hard-nosed diplomacy grounded in strategy, that's not about one-off decisions or one-upmanship. https://t.co/yfb8OE98Xu",6097,1571,2020-01-13 20:25:00,1216818448900263936
"63","Transit workers are being attacked every day, often while buses are moving, putting bus drivers and riders in harm's way. That's why I strongly support the Transit Worker and Pedestrian Protection Act to protect our workers from harm while doing their job. https://t.co/4nbHsjtKRr",1277,309,2020-01-13 22:01:00,1216842742145462272
"64","When we said to give us your tired, poor, and huddled masses, we absolutely did not mean ""unless they are fleeing violence."" https://t.co/OeIWRpPC8I",5362,1271,2020-01-14 00:03:00,1216873556241416192
"65","The stakes of this election could not be higher. Eight years of Donald Trump will fundamentally alter the character of our nation. We can't let that happen.

We have to do everything in our power to make him a one-term president.",14779,2971,2020-01-14 01:05:00,1216888913199013888
"66","From day one, Donald Trump has been determined to roll back every environmental protection he could get his hands on.

At a time when the climate crisis is pushing our planet to the brink, we should strengthen protections — not weaken them. https://t.co/RPfnT2Fz9y",8056,2606,2020-01-14 02:12:00,1216906004308414464
"67","I'm married to a teacher, I see firsthand how difficult it is. We've got to let educators do their job so our students can succeed - that means paying them the salaries they deserve and giving them the respect that they've earned. https://t.co/iRLj2DPa2o",9386,1918,2020-01-14 03:10:00,1216920521369096192
"68","Why are you so obsessed with me, Mr. President? https://t.co/BbAawEvQo6",44544,9081,2020-01-14 14:30:00,1217091659076337664
"69","We’re in a battle for the soul of our nation — and Donald Trump is poison to our soul. He has:

- Fanned the flames of hatred and bigotry
- Embraced dictators
- Ripped children from their parents' arms
- Degraded our national character

We have to get him out of the White House.",35409,7776,2020-01-14 18:05:00,1217145604691771392
"70","Donald Trump has once again sided with corporations over American workers by making it easier for them to get away with wage theft and overtime violations.

It's time we put workers' rights over corporate greed and ensure everyone has the workplace protections they deserve. https://t.co/6SgkalkZCT",4426,1579,2020-01-14 21:34:00,1217198381812080640
"71","So much of what’s tearing this country apart can be fixed if we treat each other with basic dignity and respect once again. That starts with having a president who leads by example. https://t.co/izfs0K7Jk0",6665,1367,2020-01-15 01:01:00,1217250530164183040
"72","I’m about to step on stage for tonight’s #DemDebate in Iowa. Make sure to follow along here and on @TeamJoe for updates throughout the night, and tune in to @CNN at 9 PM ET to watch live!",1551,275,2020-01-15 01:45:00,1217261367234711552
"73","In 2009 President Obama asked me to oversee our effort to bring home our combat troops. I’ll put my record and my judgment up against anyone in terms of who is the right person to be Commander in Chief. #DemDebate",1291,313,2020-01-15 02:10:00,1217267798025568256
"74","When Trump discarded the Iran nuclear deal he promised it would produce a “better” one and curb Iranian aggression—the reverse happened. Iran has restarted its nuclear program and become more provocative. I’ll return to smart, disciplined diplomacy to address the threats we face.",1040,284,2020-01-15 02:15:00,1217268959508078592
"75","No one should shed a tear for Qassem Soleimani. But Trump’s reckless escalation and thoughtless withdrawal from the Iran nuclear deal has made America less safe. We need a return to diplomacy and a steady hand at the wheel to navigate an increasingly dangerous world. #DemDebate",2505,594,2020-01-15 02:17:00,1217269640893734912
"76","There’s a big difference between sending tens of thousands of American combat troops to the Middle East indefinitely – which I oppose and will end – and using small teams of special forces to support local forces doing the fighting to advance our common security. #DemDebate",922,252,2020-01-15 02:20:00,1217270360443424768
"77","No president can take our country to war without the informed consent of the American people. #DemDebate",2164,407,2020-01-15 02:22:00,1217270827873460224
"78","I wouldn’t meet with Kim Jong Un without pre-conditions. By meeting with him, Donald Trump gave Kim Jong Un what he was looking for: legitimacy. I will work closely with our allies and hold China accountable for its lack of pressure on the Kim regime’s bad behavior. #DemDebate",2106,420,2020-01-15 02:35:00,1217273974427652096
"79","If we don’t write the global rules of the road for trade, cyber, climate change, and so much more, they may be written by China or other nations that don’t share our values. #DemDebate",996,255,2020-01-15 02:42:00,1217275855401103360
"80","I’ve been very clear about what my health care plan would do: Build on Obamacare by giving Americans more choice, reducing health care costs, and making our health care system easier to navigate. #DemDebate",1659,388,2020-01-15 03:00:00,1217280340114448384
"81","Medicare should be able to negotiate prices with drug companies. #DemDebate",1055,232,2020-01-15 03:04:00,1217281361247178752
"82","Under the Biden administration, labor and environmental groups will be at the table to negotiate trade agreements. Period. https://t.co/gKXwU2SpVu",988,260,2020-01-15 03:16:00,1217284316973207552
"83","Make no mistake, the situation with Iran is a crisis of Donald Trump’s own making. He claimed walking away from the Iran deal would deter Iranian aggression and result in a better deal. He failed on both accounts. https://t.co/S2nsclIN1B",1660,455,2020-01-15 03:23:00,1217286036092604416
"84","Child care is personal to me: I was a single parent as a young senator. I commuted home to Delaware every night to tuck my kids into bed. Child care should be affordable for every parent. #DemDebate",3118,567,2020-01-15 03:34:00,1217288891625025536
"85","Republicans have savaged my only surviving son. They’ve spread lies about me that networks won’t even carry. It doesn’t matter if they go after me.

As President of the United States, I have to be able to not only fight — I have to heal. And that’s what I’ll do if I’m elected.",39378,6322,2020-01-15 03:38:00,1217289913969840128
"86","Look, I’ve been the object of Donald Trump’s affection now more than anyone else on this stage. I’ve taken all the hits he’s delivered, and I’m only getting stronger in the polls. #DemDebate",8396,1439,2020-01-15 04:03:00,1217296167870115840
"87","With just 20 days until the Iowa Caucus, we need your help to fuel our campaign. Every donation—big or small—goes a long way in this homestretch.

If you liked what you heard at tonight's #DemDebate, please chip in what you can to keep our momentum going: https://t.co/oHhLJeow4L",573,197,2020-01-15 04:14:00,1217298932151263232
"88","This is the United States of America. There’s not a single thing beyond our capacity, if we do it together. Let’s go do it. #DemDebate",3936,696,2020-01-15 04:16:00,1217299473128443904
"89","I just got off the debate stage in Iowa, where we're in the homestretch before the caucus. With just 19 days left, every dollar counts.

Chip in if you're ready to take back this country and make Donald Trump a one-term president: https://t.co/dZBws0E8HE https://t.co/DJDvE02g5l",2114,485,2020-01-15 05:45:00,1217321765174759424
"90","Historically Black Colleges and Universities have always been the heartbeat of our country’s fight for justice. That’s why I’ll invest $70 billion in HBCUs and Minority-Serving Institutions.

When HBCUs rise, we all rise—join HBCU Students for Biden today: https://t.co/oZQOh9KPTt https://t.co/HqlwjwgeTU",2501,780,2020-01-15 17:06:00,1217493376267886592
"91","Cornell is right — everything is at stake this November. We have to get Donald Trump out of the White House and unite this country. Because if we come together and act as one America, there is nothing that we can't accomplish. https://t.co/RkNCr4M0ag",2904,766,2020-01-15 18:40:00,1217516800369405952
"92","I'm ready to debate Donald Trump on the economy. The American people are getting clobbered, and the wealthy are the only ones doing well. We have to rebuild the middle class, and this time, make sure everyone comes along. https://t.co/C36Kym6X8J",4054,975,2020-01-15 20:40:00,1217546999433744384
"93","I’m proud that today, our campaign is launching HBCU Students for Biden. This program will be dedicated to helping HBCU students throughout the country learn how to organize for our campaign. 

Sign up here: https://t.co/uDMyQf9hHx https://t.co/blPhAsMK1m",632,185,2020-01-15 22:15:00,1217570907176046592
"94","This seems like a great reason to rejoin the Paris Agreement, @realDonaldTrump. https://t.co/HHI4KUokcF",8544,1595,2020-01-15 23:05:00,1217583673282789376
"95","My thoughts and prayers are with Mustafa Kassem's family at this difficult time. His death, after six years in an Egyptian jail, is an outrage. Americans unjustly detained anywhere in the world deserve our government’s full support and relentless efforts to secure their release. https://t.co/aWpCb3VJHO",2141,574,2020-01-16 00:30:00,1217604963825848320
"96","I'm more optimistic about our future today than I was when I got elected to the Senate as a 29-year-old. If we come together and unite this country, there's not a single thing we can't do. https://t.co/LGNHTgei6W",5285,1068,2020-01-16 01:05:00,1217613689068642304
"97","America has never lived up to our promise of equality for all, but we've never stopped trying. Virginia brought us closer to that highest ideal today by ratifying the long overdue #ERA.

Women's rights should be explicitly in our Constitution—not left to the whims of legislators. https://t.co/F4E4PYEo0f",2731,578,2020-01-16 02:38:00,1217637216937267200
"98","If true, this constitutes an unprecedented attack on our Foreign Service. Amb. Yovanovitch spent her life advancing U.S. interests, only to be defamed by this administration. Our diplomats deserve better. It's inexcusable that Sec. Pompeo won't defend them. https://t.co/R3rCeQEKX9",5383,1417,2020-01-16 17:41:00,1217864525640278016
"99","The character of our nation is on the ballot in this election. We are so much better than who Donald Trump thinks we are — and we have to prove that this November. https://t.co/dToLAHQ2Hd",3132,701,2020-01-16 19:30:00,1217891772862468096
"100","A president has to be able to not only fight — but heal and bring our country together. I promise you that’s what I will do if I’m elected. https://t.co/MiRb0eGq9H",3189,718,2020-01-16 21:15:00,1217918195115257856
"101","Voting is a right. https://t.co/Ch2ZCfLqXz",8031,1516,2020-01-16 22:30:00,1217937084876513280
"102","Let's be clear: white supremacy, racism, and violence have no place in America. We have to root out these evils and give hate no safe harbor. If we stand together, we will win the battle for the soul of our nation. https://t.co/A5NlIcOPZr",7179,1719,2020-01-17 00:09:00,1217962049726226432
"103","America’s farmers have had enough of your empty promises, Mr. President. https://t.co/nsOyktOqkR https://t.co/9NSJj7pRjY",2246,717,2020-01-17 00:45:00,1217971138162298880
"104","Hate never goes away; it just hides. And when leaders give it oxygen — as Donald Trump has done — it comes roaring back. https://t.co/NsCSRzlWlk",8180,2146,2020-01-17 01:30:00,1217982368499236864
"105","This isn't just about who I am, this is about who we are as a country. We're tough, resilient, but always full of hope. With every fiber in my being, I believe there’s not a single thing we can't do—if we do it together. https://t.co/GfPWX1VTvH",14238,3337,2020-01-17 13:55:00,1218169872791764992
"106","It is a moral failing when children are ripped from their parents' arms, locked away in overcrowded detention centers, and denied toothbrushes and soap.

We have to end Donald Trump's cruel policies and build a fair and humane immigration system.",11660,2705,2020-01-17 18:56:00,1218245602623909888
"107","Minnesota — early voting is now open! Don’t wait until March 3rd to cast your ballot, head to the polls and be one of the first in the nation to make your voice heard in the primary.

Find everything you need to know here: https://t.co/WGNqS2VPDH https://t.co/PfCV0FiHLq",887,327,2020-01-17 21:33:00,1218285113164824576
"108","No malarkey here. https://t.co/7ODeSCfYMu",1711,409,2020-01-17 22:10:00,1218294441255014400
"109","Donald Trump says he prefers war heroes who ""weren't captured."" He attacks Gold Star families. Now he calls our generals “losers,"" “babies” and “dopes.""

He degrades the office he holds every day. https://t.co/mvLLdHCzRz",17346,5117,2020-01-17 22:54:00,1218305640042504192
"110","We need a president who respects our troops — and who will restore honor and integrity to the Oval Office. https://t.co/q9o1dUJ00h",4502,990,2020-01-17 22:54:00,1218305723706363904
"111","Happy birthday, @MichelleObama. You’re a shining light in the lives of all that have the honor of knowing you. Jill and I are grateful to call you a dear friend.

But don’t tell Jill — I’m still eating ice cream. And I’m not sorry. https://t.co/YSvEKrvlRk",13181,1480,2020-01-18 00:20:00,1218327140053082112
"112","Vermont — you don't have to wait until March 3rd to cast your ballot, you can early vote now! Head to https://t.co/bj5863RbJr to find all the info you need to make your voice heard in the primary. https://t.co/L4oMQotl0g",987,386,2020-01-18 16:15:00,1218567473768747008
"113","Weapons of war have no place in our communities. It’s time we take on the @NRA and ban assault weapons for good.",23167,3723,2020-01-18 18:01:00,1218594149558972416
"114","Together, we're going to beat Donald Trump and take back this country.

Chip in if you’re ready to leave him in the dust: https://t.co/wyp2zOcUWA https://t.co/qCgcncjpln",4145,1148,2020-01-18 19:53:00,1218622334929518592
"115","There used to be a basic bargain in this country—when you worked hard, you shared in the prosperity you helped create. But CEOs and Wall Street continue to put profits over workers. It's wrong.

We have to restore the dignity of work and ensure everyone earns what they deserve.",6982,1641,2020-01-18 22:15:00,1218658070512861184
"116","Donald Trump continues to embrace corruption at home and abroad. Rather than addressing the root causes pushing people to flee Central America, he has undermined anti-corruption bodies—first in Guatemala and now in Honduras. https://t.co/bJzaXo3XAQ",3633,1307,2020-01-19 00:00:00,1218684496293384192
"117","Thank you @Captsully for sharing your story. There’s a lot of kids who I bet needed to hear it. 

Being different isn’t a barrier to success. It can give you the strength to save lives in a crash landing — or even run for President. https://t.co/0sYl6VhJyr",9736,2099,2020-01-19 16:16:00,1218930361402634240
"118","I stand with the snow plow drivers who work day in and day out to keep our roads safe, often in dangerous conditions. Every worker in this country deserves the dignity that comes with fair wages and benefits. Stay safe out there, @IBT_320. https://t.co/hVLXy2urWP",1533,319,2020-01-19 17:16:00,1218945416596795392
"119","The 60th anniversary of our alliance with Japan reminds us that close partnership and deep cooperation are among our greatest assets. I understand the value of our alliances; they make us stronger. I would build on this legacy, rather than dismantling it.",3966,790,2020-01-19 19:56:00,1218985478013235200
"120","The big banks didn't need an additional $32 billion in savings, and their shareholders certainly didn't need an extra $21.5 billion in payouts.

It's time we ensure corporations pay their fair share and that our country rewards work — not wealth. https://t.co/eW8qS4yNBf",4192,1556,2020-01-19 21:11:00,1219004502566674432
"121","This is a big victory for South Carolina. The right to vote is the most fundamental American right there is — we have to break down barriers to the ballot box and ensure every American can make their voice heard. https://t.co/ASdIG2vkFe",8436,2005,2020-01-20 01:32:00,1219070147543158784
"122","Donald Trump's poisonous rhetoric and divisive politics have brought America to an inflection point. In this moment, we have an enormous opportunity to take the next great step forward as a nation.

Let's get to work. We can do this, together. https://t.co/4jTqAI3aCj",10803,3142,2020-01-20 14:28:00,1219265521159458816
"123","Honored to have won Jacquelyn's endorsement. https://t.co/tGpNZjXacu",13543,2673,2020-01-20 20:08:00,1219350885521858560
"124","As Dr. Martin Luther King Jr. said, “The arc of the moral universe is long, but it bends toward justice.” As we seek to restore the soul of this nation from a long moral lapse, we look to those words and take solace that this too shall pass and justice will prevail. #MLKDay",4149,1004,2020-01-20 21:00:00,1219363972672978944
"125","In times of crisis and division, a president should seek to calm and heal. But time and again, President Trump has chosen to further stoke the flames.

He is poison to the soul of our nation. https://t.co/CreIEMIHkE",16142,3838,2020-01-20 23:00:00,1219394286439084032
"126","From my days as a public defender to my time as Vice President — I've spent my entire career fighting against discrimination and championing civil rights. I'm running for president to bring that fight to the Oval Office and give everyone a full share of the American dream. https://t.co/y015JDgrti",6956,1769,2020-01-21 00:20:00,1219414303469522944
"127","The courage shown today by the lawmakers, staff, and gun safety advocates in Richmond is inspiring. It's long past time the calls for reform are met with concrete action that ends our gun violence epidemic. #IStandWithVirginia today, and every day, until the job is done. https://t.co/ouiZVkgzrT",3076,688,2020-01-21 02:39:00,1219449299760832512
